PlayerID,PlayerName,Rating
253,Jaylen Nowell,1
254,Bol Bol,1
255,Isaiah Roby,1
256,Talen Horton-Tucker,1
257,Ignas Brazdeikis,0
258,Terance Mann,2
259,Quinndary Weatherspoon,0
260,Jarrell Brantley,0
261,Tremont Waters,0
262,Jalen McDaniels,1
263,Justin Wright-Foreman,0
264,Marial Shayok,0
265,Kyle Guy,0
266,Jaylen Hands,0
267,Jordan Bone,0
268,Miye Oni,0
